Semana,Id,Castellano,Italiano,También se acepta,OK (sí/no),Corrección,Comentario
1,bank:15,El señor López es muy simpático.,Il signor López è molto simpatico.,,,,
1,bank:150,Los museos de Roma son famosos.,I musei di Roma sono famosi.,,,,
1,bank:152,Las universidades son públicas.,Le università sono pubbliche.,,,,
1,bank:153,Mi tío tiene un negocio.,Mio zio ha un negozio.,,,,
1,bank:155,El psicólogo es joven.,Lo psicologo è giovane.,,,,
1,bank:156,El estudiante tiene un examen.,Lo studente ha un esame.,,,,
1,bank:157,El espejo está roto.,Lo specchio è rotto.,,,,
1,bank:158,El yogur es para los chicos.,Lo yogurt è per i bambini.,Lo yogurt è per i ragazzi.,,,
1,bank:159,Los zapatos están abajo de la cama.,Le scarpe sono sotto il letto.,,,,
1,bank:16,Los estudiantes son italianos.,Gli studenti sono italiani.,,,,
1,bank:161,Tengo muchos amigos.,Ho molti amici.,Ho tanti amici.,,,
1,bank:162,Las amigas de Ana son simpáticas.,Le amiche di Ana sono simpatiche.,,,,
1,bank:166,Estoy en lo de mi abuela.,Sono da mia nonna.,Sono a casa di mia nonna.,,,
1,bank:168,El chico está en la escuela.,Il ragazzo è a scuola.,Il bambino è a scuola.,,,
1,bank:17,Tengo un amigo y una amiga en Roma.,Ho un amico e un'amica a Roma.,,,,
1,bank:180,Tengo frío.,Ho freddo.,,,,
1,bank:181,Tenés razón.,Hai ragione.,,,,
1,bank:182,Tengo miedo de los perros.,Ho paura dei cani.,,,,
1,bank:183,Siempre llego tarde.,Arrivo sempre tardi.,Arrivo sempre in ritardo.,,,
1,bank:184,Hoy no trabajo.,Oggi non lavoro.,,,,
1,bank:185,Los lunes tengo muchas reuniones.,Il lunedì ho molte riunioni.,Il lunedì ho tante riunioni.,,,
1,bank:186,El colectivo está lleno.,L'autobus è pieno.,,,,
1,bank:187,Mis hijos tienen hambre.,I miei figli hanno fame.,,,,
1,bank:189,El sábado hay un concierto en el parque.,Sabato c'è un concerto nel parco.,,,,
1,bank:190,¿Tenés hermanos?,Hai fratelli?,Hai dei fratelli?,,,
1,bank:192,Mi casa está lejos del centro.,La mia casa è lontana dal centro.,Casa mia è lontana dal centro. | La mia casa è lontano dal centro.,,,
1,bank:193,La farmacia está al lado del banco.,La farmacia è accanto alla banca.,La farmacia è di fianco alla banca.,,,
1,bank:194,Estoy contento con mi trabajo.,Sono contento del mio lavoro.,Sono soddisfatto del mio lavoro.,,,
1,bank:196,Mi vecina tiene un perro enorme.,La mia vicina ha un cane enorme.,,,,
1,bank:197,El sol sale a las seis.,Il sole sorge alle sei.,Il sole spunta alle sei.,,,
1,bank:198,Estas son mis llaves.,Queste sono le mie chiavi.,,,,
1,bank:199,Esa chica es mi prima.,Quella ragazza è mia cugina.,,,,
1,bank:207,¿Qué pasó?,Cos'è successo?,Che cosa è successo? | Che è successo? | Cosa è successo?,,,
1,bank:22,Estoy en casa.,Sono a casa.,,,,
1,bank:227,¿Me escuchás bien?,Mi senti bene?,Mi senti?,,,
1,bank:229,Las invito a cenar el sábado.,Le invito a cena sabato.,Le invito a cenare sabato. | Vi invito a cena sabato. | Vi invito a cenare sabato.,,,
1,bank:23,"Vivo en Italia, en Milán.","Vivo in Italia, a Milano.","Abito in Italia, a Milano.",,,
1,bank:24,¿De dónde sos?,Di dove sei?,Da dove vieni?,,,
1,bank:240,Mañana va a llover.,Domani pioverà.,,,,
1,bank:25,Soy de Rosario.,Sono di Rosario.,,,,
1,bank:256,Vivo en Milán desde hace dos años.,Vivo a Milano da due anni.,Abito a Milano da due anni.,,,
1,bank:257,Estudio italiano desde enero.,Studio italiano da gennaio.,Studio l'italiano da gennaio.,,,
1,bank:258,Hace una hora que te espero.,Ti aspetto da un'ora.,È un'ora che ti aspetto.,,,
1,bank:259,Hace tres años que trabajo acá.,Lavoro qui da tre anni.,Lavoro qua da tre anni. | Sono tre anni che lavoro qui. | Sono tre anni che lavoro qua.,,,
1,bank:266,El tren es tan rápido como el avión.,Il treno è veloce come l'aereo.,Il treno è tanto veloce quanto l'aereo. | Il treno è così veloce come l'aereo.,,,
1,bank:267,Este café es mejor que el otro.,Questo caffè è migliore dell'altro.,Questo caffè è meglio dell'altro. | Questo caffè è più buono dell'altro.,,,
1,bank:27,¿Qué hora es?,Che ore sono?,Che ora è?,,,
1,bank:272,No te preocupes.,Non preoccuparti.,Non ti preoccupare.,,,
1,bank:273,No hables tan fuerte.,Non parlare così forte.,Non parlare a voce così alta.,,,
1,bank:275,Decime la verdad.,Dimmi la verità.,,,,
1,bank:276,Haceme un favor.,Fammi un favore.,,,,
1,bank:277,Mandame el archivo por mail.,Mandami il file per email.,Mandami il file per mail. | Mandami il file via email.,,,
1,bank:278,Esperame un minuto.,Aspettami un minuto.,Aspettami un attimo. | Aspettami un momento.,,,
1,bank:28,Son las tres y media.,Sono le tre e mezza.,Sono le tre e mezzo.,,,
1,bank:287,Me encanta la pasta.,Adoro la pasta.,Mi piace tantissimo la pasta. | Mi piace moltissimo la pasta.,,,
1,bank:29,Hay un bar cerca de la oficina.,C'è un bar vicino all'ufficio.,,,,
1,bank:291,Me duele la cabeza.,Mi fa male la testa.,Ho mal di testa.,,,
1,bank:298,¿A qué hora empezó la reunión?,A che ora è cominciata la riunione?,A che ora è iniziata la riunione?,,,
1,bank:299,La película terminó a medianoche.,Il film è finito a mezzanotte.,,,,
1,bank:3,Tengo treinta y dos años.,Ho trentadue anni.,,,,
1,bank:30,Hay muchos turistas en Florencia.,Ci sono molti turisti a Firenze.,Ci sono tanti turisti a Firenze.,,,
1,bank:303,Bajamos del colectivo en la plaza.,Siamo scesi dall'autobus in piazza.,Siamo scese dall'autobus in piazza.,,,
1,bank:304,Mi hijo creció mucho este año.,Mio figlio è cresciuto molto quest'anno.,,,,
1,bank:305,El pueblo cambió mucho.,Il paese è cambiato molto.,Il paese è cambiato tanto.,,,
1,bank:312,Muchos italianos emigraron a la Argentina.,Molti italiani sono emigrati in Argentina.,Tanti italiani sono emigrati in Argentina.,,,
1,bank:314,Leonardo pintó la Gioconda.,Leonardo ha dipinto la Gioconda.,Leonardo dipinse la Gioconda.,,,
1,bank:322,El jefe está en una reunión.,Il capo è in riunione.,Il capo è a una riunione.,,,
1,bank:344,El año que viene cumplo cuarenta.,L'anno prossimo compio quarant'anni.,L'anno prossimo compirò quarant'anni. | L'anno prossimo faccio quarant'anni.,,,
1,bank:345,Ahora vivo solo.,Adesso vivo da solo.,Ora vivo da solo. | Adesso abito da solo.,,,
1,bank:35,Mi hermana tiene dos hijos.,Mia sorella ha due figli.,,,,
1,bank:351,Me acuerdo de aquel verano.,Mi ricordo di quell'estate.,Ricordo quell'estate.,,,
1,bank:359,Tengo turno con el dentista.,Ho un appuntamento dal dentista.,Ho un appuntamento con il dentista. | Ho appuntamento dal dentista.,,,
1,bank:36,Nuestra casa es chica pero linda.,La nostra casa è piccola ma carina.,La nostra casa è piccola ma bella. | La nostra casa è piccola però carina.,,,
1,bank:360,Pasé por lo de mi hermano.,Sono passato da mio fratello.,Sono passata da mio fratello.,,,
1,bank:364,Mi colega está de vacaciones.,Il mio collega è in vacanza.,La mia collega è in vacanza. | Il mio collega è in ferie. | La mia collega è in ferie.,,,
1,bank:366,Me encanta este barrio.,Adoro questo quartiere.,Mi piace tantissimo questo quartiere. | Mi piace moltissimo questo quartiere.,,,
1,bank:37,Mi departamento está en el centro.,Il mio appartamento è in centro.,,,,
1,bank:374,Ayer llovió todo el día.,Ieri ha piovuto tutto il giorno.,Ieri è piovuto tutto il giorno.,,,
1,bank:378,Este libro es mío.,Questo libro è mio.,,,,
1,bank:379,¿De quién es este paraguas?,Di chi è quest'ombrello?,Di chi è questo ombrello?,,,
1,bank:38,¿Dónde está la estación?,Dov'è la stazione?,Dove si trova la stazione? | Dove è la stazione?,,,
1,bank:380,Esa es la casa de mis abuelos.,Quella è la casa dei miei nonni.,,,,
1,bank:382,Los libros están en el estante de arriba.,I libri sono sullo scaffale in alto.,I libri sono sulla mensola in alto. | I libri sono sullo scaffale di sopra.,,,
1,bank:39,El museo está cerrado los lunes.,Il museo è chiuso il lunedì.,Il museo è chiuso di lunedì.,,,
1,bank:391,La gente está cansada de la crisis.,La gente è stanca della crisi.,,,,
1,bank:397,¿En Italia se cena tarde?,In Italia si cena tardi?,,,,
1,bank:4,Vivo en Buenos Aires con mi novia.,Vivo a Buenos Aires con la mia ragazza.,Vivo a Buenos Aires con la mia fidanzata. | Abito a Buenos Aires con la mia ragazza. | Abito a Buenos Aires con la mia fidanzata.,,,
1,bank:403,La mejor pizza está en Nápoles.,La pizza migliore è a Napoli.,La pizza più buona è a Napoli. | La miglior pizza è a Napoli. | La pizza migliore si trova a Napoli.,,,
1,bank:43,Mi novio es muy alto.,Il mio ragazzo è molto alto.,Il mio fidanzato è molto alto.,,,
1,bank:44,Los chicos tienen sueño.,I bambini hanno sonno.,I ragazzi hanno sonno.,,,
1,bank:443,"Según el diario, el ministro renunciaría.","Secondo il giornale, il ministro si dimetterebbe.",,,,
1,bank:45,El agua está fría.,L'acqua è fredda.,,,,
1,bank:46,La leche está en la heladera.,Il latte è nel frigorifero.,Il latte è in frigo. | Il latte è nel frigo.,,,
1,bank:460,No me acuerdo de nada.,Non mi ricordo niente.,Non mi ricordo di niente. | Non ricordo niente. | Non ricordo nulla.,,,
1,bank:462,Hay que pensarlo bien.,Bisogna pensarci bene.,,,,
1,bank:475,Todo lo que tengo es tuyo.,Tutto quello che ho è tuo.,Tutto ciò che ho è tuo.,,,
1,bank:48,Trabajo de lunes a viernes.,Lavoro dal lunedì al venerdì.,Lavoro da lunedì a venerdì.,,,
1,bank:482,"Cuando uno es joven, tiene muchos sueños.","Quando si è giovani, si hanno molti sogni.","Quando si è giovani, si hanno tanti sogni.",,,
1,bank:490,¿Desde cuándo estudiás italiano?,Da quando studi l'italiano?,Da quanto tempo studi l'italiano? | Da quando studi italiano?,,,
1,bank:50,Mi jefe es muy exigente.,Il mio capo è molto esigente.,,,,
1,bank:506,Tengo ganas de ir al teatro.,Ho voglia di andare a teatro.,,,,
1,bank:509,Me da lo mismo.,Per me è uguale.,Per me fa lo stesso. | Mi è indifferente. | Per me è lo stesso.,,,
1,bank:51,Hoy tengo una reunión a las diez.,Oggi ho una riunione alle dieci.,,,,
1,bank:511,Vale la pena visitar Siena.,Vale la pena visitare Siena.,,,,
1,bank:514,Se me cayó el celular al piso.,Mi è caduto il cellulare per terra.,Mi è caduto il telefono per terra. | Mi è caduto il cellulare a terra.,,,
1,bank:517,Te conviene salir temprano.,Ti conviene uscire presto.,,,,
1,bank:519,Hay que reservar con anticipación.,Bisogna prenotare in anticipo.,Occorre prenotare in anticipo.,,,
1,bank:52,¿Tenés tiempo mañana?,Hai tempo domani?,Domani hai tempo?,,,
1,bank:529,Es el peor día de mi vida.,È il giorno peggiore della mia vita.,È il peggior giorno della mia vita.,,,
1,bank:53,No tengo plata.,Non ho soldi.,Non ho denaro. | Non ho i soldi.,,,
1,bank:530,Roma es una ciudad antiquísima.,Roma è una città antichissima.,,,,
1,bank:531,La situación es gravísima.,La situazione è gravissima.,,,,
1,bank:532,El hermano mayor de Luca es médico.,Il fratello maggiore di Luca è medico.,Il fratello più grande di Luca è medico. | Il fratello maggiore di Luca fa il medico.,,,
1,bank:536,"Además, el precio es demasiado alto.","Inoltre, il prezzo è troppo alto.",,,,
1,bank:54,¿Cuánto cuesta este libro?,Quanto costa questo libro?,,,,
1,bank:541,"Apenas llegues, avisame.","Appena arrivi, avvisami.","Non appena arrivi, avvisami. | Appena arrivi, fammi sapere.",,,
1,bank:544,No se lo digas a nadie.,Non dirlo a nessuno.,Non lo dire a nessuno.,,,
1,bank:545,"Dame ese libro, por favor.","Dammi quel libro, per favore.",,,,
1,bank:55,Estos zapatos son caros.,Queste scarpe sono care.,Queste scarpe sono costose.,,,
1,bank:556,Me echaron del trabajo.,Mi hanno licenziato.,Mi hanno licenziata. | Sono stato licenziato.,,,
1,bank:558,Mi contrato vence a fin de mes.,Il mio contratto scade a fine mese.,,,,
1,bank:563,Te felicito por el ascenso.,Complimenti per la promozione.,Congratulazioni per la promozione.,,,
1,bank:566,¿Qué te pasó?,Cosa ti è successo?,Che ti è successo? | Che cosa ti è successo?,,,
1,bank:567,Me pasó algo increíble.,Mi è successa una cosa incredibile.,,,,
1,bank:572,La Revolución Francesa empezó en 1789.,La Rivoluzione francese è cominciata nel 1789.,La Rivoluzione francese è iniziata nel 1789. | La Rivoluzione francese cominciò nel 1789. | La Rivoluzione francese scoppiò nel 1789.,,,
1,bank:575,Los obreros hicieron huelga durante un mes.,Gli operai hanno scioperato per un mese.,Gli operai hanno fatto sciopero per un mese.,,,
1,bank:576,La sociedad cambió mucho en los últimos años.,La società è cambiata molto negli ultimi anni.,,,,
1,bank:58,Mis amigas son de Mendoza.,Le mie amiche sono di Mendoza.,,,,
1,bank:582,"Según Maquiavelo, el fin justifica los medios.","Secondo Machiavelli, il fine giustifica i mezzi.",,,,
1,bank:587,"Si llegás antes, esperame en el bar.","Se arrivi prima, aspettami al bar.",,,,
1,bank:588,"Cuando llegues a Roma, mandame un mensaje.","Quando arrivi a Roma, mandami un messaggio.","Quando arriverai a Roma, mandami un messaggio.",,,
1,bank:59,El amigo de Pablo es médico.,L'amico di Pablo è medico.,L'amico di Pablo è un medico. | L'amico di Pablo fa il medico.,,,
1,bank:596,¿Te molestaría cerrar la ventana?,Ti dispiacerebbe chiudere la finestra?,,,,
1,bank:597,Habría que llamar al técnico.,Bisognerebbe chiamare il tecnico.,Si dovrebbe chiamare il tecnico.,,,
1,bank:60,Las casas de este barrio son antiguas.,Le case di questo quartiere sono antiche.,Le case di questo quartiere sono vecchie.,,,
1,bank:61,Tengo dos gatos y un perro.,Ho due gatti e un cane.,,,,
1,bank:618,Es una ciudad donde se vive bien.,È una città dove si vive bene.,È una città in cui si vive bene.,,,
1,bank:671,Ya me cansé de esperar.,Mi sono stufato di aspettare.,Mi sono stufata di aspettare. | Mi sono stancato di aspettare.,,,
1,bank:68,Mi mamá cocina muy bien.,Mia mamma cucina molto bene.,La mia mamma cucina molto bene. | Mia madre cucina molto bene.,,,
1,bank:681,Garibaldi desembarcó en Marsala en 1860.,Garibaldi sbarcò a Marsala nel 1860.,Garibaldi è sbarcato a Marsala nel 1860.,,,
1,bank:686,"En la posguerra, la economía creció rápidamente.",Nel dopoguerra l'economia crebbe rapidamente.,Nel dopoguerra l'economia è cresciuta rapidamente.,,,
1,bank:688,Gramsci pasó sus últimos años en la cárcel.,Gramsci trascorse gli ultimi anni in carcere.,Gramsci passò gli ultimi anni in carcere. | Gramsci trascorse i suoi ultimi anni in carcere. | Gramsci ha trascorso gli ultimi anni in carcere. | Gramsci ha passato gli ultimi anni in carcere. | Gramsci ha trascorso i suoi ultimi anni in carcere.,,,
1,bank:69,Mi papá lee mucho.,Mio padre legge molto.,Mio papà legge molto. | Il mio papà legge molto. | Mio padre legge tanto. | Mio papà legge tanto.,,,
1,bank:697,La clase media se empobreció en los noventa.,La classe media si è impoverita negli anni Novanta.,,,,
1,bank:7,¿Tenés un auto nuevo?,Hai una macchina nuova?,Hai un'auto nuova? | Hai una nuova macchina?,,,
1,bank:706,No te hagas problema por eso.,Non farti problemi per questo.,Non preoccuparti per questo.,,,
1,bank:707,Estoy harto de la burocracia.,Sono stufo della burocrazia.,Ne ho abbastanza della burocrazia.,,,
1,bank:710,Hay que tener en cuenta el contexto histórico.,Bisogna tenere conto del contesto storico.,Bisogna tenere presente il contesto storico.,,,
1,bank:711,El texto plantea una cuestión interesante.,Il testo solleva una questione interessante.,Il testo pone una questione interessante.,,,
1,bank:712,El autor sostiene que el poder corrompe.,L'autore sostiene che il potere corrompa.,L'autore sostiene che il potere corrompe.,,,
1,bank:719,Hay que resolverlo cuanto antes.,Bisogna risolverlo al più presto.,Bisogna risolverlo il prima possibile. | Bisogna risolverlo quanto prima.,,,
1,bank:727,El éxito del libro sorprendió a todos.,Il successo del libro ha sorpreso tutti.,,,,
1,bank:729,Estoy embarazada de tres meses.,Sono incinta di tre mesi.,,,,
1,bank:731,Esta noche tengo un compromiso.,Stasera ho un impegno.,,,,
1,bank:732,Las partes llegaron a un acuerdo razonable.,Le parti hanno raggiunto un compromesso ragionevole.,Le parti hanno raggiunto un accordo ragionevole.,,,
1,bank:737,Es un tipo muy tacaño.,È un tipo molto tirchio.,È un tipo molto avaro.,,,
1,bank:739,No me tomes el pelo.,Non prendermi in giro.,Non mi prendere in giro.,,,
1,bank:740,Hay que agarrar el toro por las astas.,Bisogna prendere il toro per le corna.,,,,
1,bank:746,"Ya voy, ¡esperame!","Arrivo, aspettami!","Vengo, aspettami!",,,
1,bank:753,Los libros prohibidos circulaban en secreto.,I libri proibiti circolavano in segreto.,I libri proibiti circolavano di nascosto.,,,
1,bank:755,Las ciudades-estado competían entre sí.,Le città-stato competevano tra loro.,Le città-stato erano in competizione tra loro. | Le città-stato competevano fra loro.,,,
1,bank:756,Venecia dominó el comercio con Oriente durante siglos.,Venezia dominò il commercio con l'Oriente per secoli.,Venezia ha dominato il commercio con l'Oriente per secoli.,,,
1,bank:759,La lectura nos hace más libres.,La lettura ci rende più liberi.,,,,
1,bank:760,La guerra dejó en la miseria a toda la región.,La guerra ridusse in miseria tutta la regione.,La guerra ha ridotto in miseria tutta la regione.,,,
1,bank:77,Espero a Laura en la estación.,Aspetto Laura alla stazione.,Aspetto Laura in stazione.,,,
1,bank:774,Me niego a aceptar esas condiciones.,Mi rifiuto di accettare queste condizioni.,Mi rifiuto di accettare quelle condizioni.,,,
1,bank:788,"No es que me disguste, sino que no me convence.","Non è che mi dispiaccia, è che non mi convince.","Non è che non mi piaccia, è che non mi convince.",,,
1,bank:789,"Por más que insistieran, no cedió.","Per quanto insistessero, non cedette.","Per quanto insistessero, non ha ceduto.",,,
1,bank:793,"Lejos de resolverse, el conflicto se agravó.","Lungi dal risolversi, il conflitto si aggravò.","Lungi dal risolversi, il conflitto si è aggravato.",,,
1,bank:794,"Dicho esto, conviene matizar algunas afirmaciones.","Detto questo, conviene sfumare alcune affermazioni.","Detto ciò, conviene precisare alcune affermazioni.",,,
1,bank:799,Manzoni reescribió la novela para acercarla al toscano.,Manzoni riscrisse il romanzo per avvicinarlo al toscano.,Manzoni ha riscritto il romanzo per avvicinarlo al toscano.,,,
1,bank:8,El libro está sobre la mesa.,Il libro è sul tavolo.,Il libro è sopra il tavolo. | Il libro è sulla tavola.,,,
1,bank:800,Leopardi pasó gran parte de su juventud encerrado en la biblioteca paterna.,Leopardi trascorse gran parte della giovinezza chiuso nella biblioteca paterna.,Leopardi trascorse gran parte della sua giovinezza chiuso nella biblioteca paterna. | Leopardi ha trascorso gran parte della giovinezza chiuso nella biblioteca paterna. | Leopardi ha trascorso gran parte della sua giovinezza chiuso nella biblioteca paterna.,,,
1,bank:801,"Cuando el Imperio cayó, Europa se fragmentó en reinos.","Quando l'Impero cadde, l'Europa si frammentò in regni.","Quando l'Impero è caduto, l'Europa si è frammentata in regni.",,,
1,bank:802,Los humanistas redescubrieron los textos clásicos.,Gli umanisti riscoprirono i testi classici.,Gli umanisti hanno riscoperto i testi classici.,,,
1,bank:804,"Para Hegel, lo real es racional.","Per Hegel, il reale è razionale.","Per Hegel, ciò che è reale è razionale.",,,
1,bank:806,Weber distinguía entre ética de la convicción y ética de la responsabilidad.,Weber distingueva tra etica della convinzione ed etica della responsabilità.,Weber distingueva fra etica della convinzione ed etica della responsabilità.,,,
1,bank:807,"Según Bauman, la modernidad líquida disuelve los vínculos.","Secondo Bauman, la modernità liquida dissolve i legami.",,,,
1,bank:81,Esta ciudad es muy linda.,Questa città è molto bella.,,,,
1,bank:811,Habría que preguntarse a quién beneficia esta reforma.,Bisognerebbe chiedersi a chi giovi questa riforma.,Bisognerebbe chiedersi a chi giova questa riforma.,,,
1,bank:82,Las ciudades italianas son antiguas.,Le città italiane sono antiche.,,,,
1,bank:824,No por eso voy a dejar de intentarlo.,Non per questo smetterò di provarci.,,,,
1,bank:828,"Que yo recuerde, nunca se habló de eso.","Che io ricordi, non se n'è mai parlato.","Che io ricordi, non se ne è mai parlato.",,,
1,bank:83,Tengo un problema con la computadora.,Ho un problema con il computer.,Ho un problema col computer.,,,
1,bank:834,La burocracia estatal se convirtió en un fin en sí misma.,La burocrazia statale divenne fine a se stessa.,La burocrazia statale è diventata fine a se stessa.,,,
1,bank:836,Los historiadores discrepan acerca de las causas de la caída.,Gli storici non concordano sulle cause della caduta.,Gli storici sono in disaccordo sulle cause della caduta.,,,
1,bank:838,Pirandello recibió el Nobel en 1934.,Pirandello ricevette il Nobel nel 1934.,Pirandello vinse il Nobel nel 1934. | Pirandello ha ricevuto il Nobel nel 1934. | Pirandello ha vinto il Nobel nel 1934.,,,
1,bank:84,El tema es interesante.,Il tema è interessante.,L'argomento è interessante.,,,
1,bank:841,"El pueblo, harto de la miseria, se sublevó.","Il popolo, stanco della miseria, insorse.","Il popolo, stufo della miseria, insorse. | Il popolo, stanco della miseria, si ribellò. | Il popolo, stanco della miseria, è insorto. | Il popolo, stufo della miseria, è insorto. | Il popolo, stanco della miseria, si è ribellato.",,,
1,bank:845,Más vale tarde que nunca.,Meglio tardi che mai.,,,,
1,bank:846,El que calla otorga.,Chi tace acconsente.,,,,
1,bank:849,"Terminada la guerra, miles de italianos emigraron.","Finita la guerra, migliaia di italiani emigrarono.","Finita la guerra, migliaia di italiani sono emigrati.",,,
1,bank:85,Mi oficina está en el tercer piso.,Il mio ufficio è al terzo piano.,,,,
1,bank:852,Quedo a su disposición para cualquier consulta.,Resto a Sua disposizione per qualsiasi chiarimento.,Resto a disposizione per qualsiasi chiarimento. | Rimango a Sua disposizione per qualsiasi chiarimento.,,,
1,bank:853,Adjunto el documento solicitado.,In allegato il documento richiesto.,Allego il documento richiesto.,,,
1,bank:854,Lamento no haber podido asistir a la reunión.,Mi dispiace non aver potuto partecipare alla riunione.,Mi dispiace di non aver potuto partecipare alla riunione.,,,
1,bank:86,Trabajo con la computadora todo el día.,Lavoro al computer tutto il giorno.,Lavoro con il computer tutto il giorno.,,,
1,bank:863,Hay que reconocerle el mérito de haberlo dicho primero.,Bisogna riconoscergli il merito di averlo detto per primo.,Bisogna riconoscerle il merito di averlo detto per prima.,,,
1,bank:87,Hoy es martes.,Oggi è martedì.,,,,
1,bank:88,Mi cumpleaños es en mayo.,Il mio compleanno è a maggio.,Il mio compleanno è in maggio.,,,
1,bank:89,Hay un error en el documento.,C'è un errore nel documento.,,,,
1,bank:9,Estoy cansado hoy.,Oggi sono stanco.,Sono stanco oggi.,,,
1,bank:90,No hay leche.,Non c'è latte.,Non c'è il latte.,,,
1,bank:91,¿Hay un banco por acá?,C'è una banca qui vicino?,C'è una banca da queste parti? | C'è una banca qui?,,,
1,bank:93,El café está caliente.,Il caffè è caldo.,,,,
1,bank:94,Este pantalón es muy largo.,Questi pantaloni sono molto lunghi.,Questo pantalone è molto lungo.,,,
1,bank:95,La calle es muy ancha.,La strada è molto larga.,La via è molto larga.,,,
1,bank:96,Mi habitación es chica.,La mia camera è piccola.,La mia stanza è piccola.,,,
1,bank:99,Mi sobrino es muy gracioso.,Mio nipote è molto divertente.,Mio nipote è molto simpatico.,,,
5,bank:101,Los domingos comemos pasta.,La domenica mangiamo la pasta.,La domenica mangiamo pasta. | Di domenica mangiamo la pasta.,,,
5,bank:111,Venimos de Uruguay.,Veniamo dall'Uruguay.,,,,
5,bank:114,El avión llega a las seis.,L'aereo arriva alle sei.,,,,
5,bank:118,¿Ustedes vienen a la fiesta?,Venite alla festa?,Voi venite alla festa?,,,
5,bank:121,El perro duerme en el sillón.,Il cane dorme sul divano.,Il cane dorme sulla poltrona.,,,
5,bank:122,Pongo las llaves en el cajón.,Metto le chiavi nel cassetto.,,,,
5,bank:123,Mi celular no funciona.,Il mio cellulare non funziona.,Il mio telefono non funziona.,,,
5,bank:125,Sus hijos estudian en Roma.,I suoi figli studiano a Roma.,I loro figli studiano a Roma.,,,
5,bank:129,Leo un libro de filosofía.,Leggo un libro di filosofia.,,,,
5,bank:134,Hoy leo en la biblioteca.,Oggi leggo in biblioteca.,,,,
5,bank:139,Escribo muchos correos en el trabajo.,Scrivo molte email al lavoro.,Scrivo molte mail al lavoro. | Scrivo tante email al lavoro.,,,
5,bank:141,Los sábados duermo mucho.,Il sabato dormo molto.,Di sabato dormo molto. | Il sabato dormo tanto.,,,
5,bank:147,"Estoy bien, gracias.","Sto bene, grazie.",,,,
5,bank:151,Los argentinos hablan español.,Gli argentini parlano spagnolo.,Gli argentini parlano lo spagnolo.,,,
5,bank:154,Mis tíos llegan hoy.,I miei zii arrivano oggi.,Oggi arrivano i miei zii.,,,
5,bank:160,Los hombres y las mujeres trabajan.,Gli uomini e le donne lavorano.,,,,
5,bank:165,Vamos a la casa de Marco.,Andiamo da Marco.,Andiamo a casa di Marco.,,,
5,bank:167,Compro pan en la panadería.,Compro il pane in panetteria.,Compro il pane dal panettiere. | Compro il pane al forno.,,,
5,bank:171,Abro la ventana porque hace calor.,Apro la finestra perché fa caldo.,,,,
5,bank:172,Cierro la puerta con llave.,Chiudo la porta a chiave.,,,,
5,bank:173,El negocio cierra a las ocho.,Il negozio chiude alle otto.,,,,
5,bank:176,A mi hermano le gusta el fútbol.,A mio fratello piace il calcio.,,,,
